,AZUAY,BOLIVAR,CANAR,CARCHI,CHIMBORAZO,COTOPAXI,EL ORO,ESMERALDAS,GALAPAGOS,GUAYAS,IMBABURA,LOJA,LOS RIOS,MANABI,MORONA SANTIAGO,NAPO,ORELLANA,PASTAZA,PICHINCHA,SANTA ELENA,STO DGO DE LOS TSACHILAS,SUCUMBIOS,TUNGURAHUA,ZAMORA CHINCHIPE
0,AZUAY,BOLIVAR,CANAR,CARCHI,CHIMBORAZO,COTOPAXI,EL ORO,ESMERALDAS,GALAPAGOS,GUAYAS,IMBABURA,LOJA,LOS RIOS,MANABI,MORONA SANTIAGO,NAPO,ORELLANA,PASTAZA,PICHINCHA,SANTA ELENA,STO DGO DE LOS TSACHILAS,SUCUMBIOS,TUNGURAHUA,ZAMORA CHINCHIPE
