,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
CHORDELEG,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0
CHUNCHI,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
COLIMES,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
COLOMBIA,,,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
COLTA,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0
COREA (SUR) REPUBLICA DE,,,101.0,,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
COSTA RICA,,,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0
COTACACHI,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
CRNL MARCELINO MARIDUENAS,890.0,890.0,890.0,890.0,890.0,890.0,890.0,,890.0,890.0,890.0,890.0
CRNL. MARCELINO MARIDUENAS,,,,,,,,890.0,,,,
CUBA,,,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
CUENCA,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0
CUMANDA,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
CUYABENO,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0
DAULE,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
DELEG,905.0,905.0,905.0,905.0,905.0,905.0,905.0,905.0,905.0,905.0,905.0,905.0
DURAN,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0
ECHEANDIA,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
EGIPTO,,,341.0,,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0
EL CARMEN,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
EL CHACO,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
EL EMPALME,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0
EL GUABO,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
EL PAN,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
EL PANGUI,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0
EL SALVADOR,,,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
EL TAMBO,765.0,765.0,765.0,765.0,765.0,765.0,765.0,765.0,765.0,765.0,765.0,765.0
EL TRIUNFO,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0
ELOY ALFARO,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0
ESMERALDAS,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
ESPANA,,,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0
ESPEJO,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ESPINDOLA,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
ESTADOS UNIDOS DE AMERICA,,,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0
FCO.DE ORELLANA,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0
FEDERACION DE RUSIA,,,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0
FLAVIO ALFARO,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
FRANCIA,,,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0
GIRON,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
GONZALO PIZARRO,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0
GONZANAMA,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0
GRAL. A. ELIZALDE,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0
GUACHAPALA,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0
GUALACEO,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0
GUALAQUIZA,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0
GUAMOTE,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
GUANO,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
GUARANDA,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0
GUATEMALA,,,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0
GUAYAQUIL,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0
HONDURAS,,,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0
HUAMBOYA,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0
HUAQUILLAS,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0
HUNGRIA,,,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0
IBARRA,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
INDIA,,,242.0,,242.0,242.0,242.0,242.0,242.0,242.0,,
INDONESIA,,,411.0,,411.0,411.0,411.0,411.0,411.0,411.0,411.0,411.0
IRAN,,,,,,461.0,461.0,461.0,461.0,,,
ISABELA,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0
ISIDRO AYORA,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0
ISRAEL,,,251.0,,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0
ITALIA,,,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0
JAMA,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0
JAPON,,,271.0,,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
JARAMIJO,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
JIPIJAPA,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0
JOYA DE LOS SACHAS,,,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0
JOYA DE LOS SAGCHAS,725.0,725.0,,,,,,,,,,
JUNIN,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0
LA CONCORDIA,,,,,786.0,786.0,982.0,982.0,982.0,982.0,982.0,982.0
LA LIBERTAD,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0
LA MANA,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
LA TRONCAL,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
LAGO AGRIO,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
LAS LAJAS,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0
LAS NAVES,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0
LATACUNGA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LIMON INDANZA,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
LOGRONO,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0
LOJA,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
LOMAS DE SARGENTILLO,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0
LORETO,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0
MACARA,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0
MACHALA,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
MALASIA,,,421.0,,421.0,421.0,421.0,421.0,421.0,421.0,,
MANTA,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
MARCABELI,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0
MEJIA,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
MERA,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0
MEXICO,,,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0
MILAGRO,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
MIRA,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
MOCACHE,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0
MOCHA,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
MONTALVO,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0
MONTECRISTI,445.0,445.0,445.0,445.0,445.0,445.0,445.0,445.0,445.0,445.0,445.0,445.0
MONTUFAR,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MORONA,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0
MUISNE,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0
NABON,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0
NANGARITZA,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
NARANJAL,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0
NARANJITO,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0
NICARAGUA,,,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,,
NOBOL / PIEDRAHITA,,,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0
NOBOL-PIEDRAHITA,940.0,,,,,,,,,,,
NOBOL?PIEDRAHITA,,940.0,,,,,,,,,,
OLMEDO,311.0,311.0,970.0,970.0,970.0,970.0,970.0,970.0,970.0,970.0,970.0,970.0
OLMEDO/PUCA,970.0,970.0,,,,,,,,,,
ONA,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0
OTAVALO,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
PABLO SEXTO,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0
PAISES BAJOS (HOLANDA),,,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0
PAJAN,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0
PALANDA,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0
PALENQUE,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
PALESTINA,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0
PALLATANGA,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0
PALORA,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0
PALTAS,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0
PANAMA,,,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0
PANGUA,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
PAQUISHA,,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0
PARAGUAY,,,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0
PASAJE,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
PASTAZA,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0
PATATE,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
PAUTE,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0
PEDERNALES,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0
PEDRO CARBO,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0
PEDRO MONCAYO,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
PEDRO VICENTE MALDONADO,895.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0
PELILEO,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
PENIPE,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0
PERU,,,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0
PICHINCHA,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0
PILLARO,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0
PIMAMPIRO,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
PINAS,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0
PINDAL,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0
PLAYAS,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
POLONIA,,,431.0,431.0,431.0,431.0,431.0,,,,,
PORTOVELO,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0
PORTOVIEJO,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
PORTUGAL,,,,,,432.0,432.0,,,,,
PUCARA,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0
PUEBLO VIEJO,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0
PUERTO LOPEZ,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0
PUERTO QUITO,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0
PUJILI,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
PUTUMAYO,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
PUYANGO,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
QATAR,,,,,,471.0,471.0,471.0,471.0,471.0,,
QUERO,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
QUEVEDO,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
QUIJOS,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0
QUILANGA,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0
QUININDE,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0
QUINSALOMA,,,,,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0
