OP_CODIGO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,ANIO
22029.0,PROVINCIAL,PARTIDO SOCIEDAD PATRIOTICA LISTA 3  PARTIDO SOCIALISTA FRENTE AMPLI LISTA 17,PSP/PS-FA,2009
23003.0,PROVINCIAL,FRENTE DE DIGNIDAD,ID/MUPP-NP/RED,2009
23005.0,PROVINCIAL,PARTIDO UNO - MOV. AGRICOLA GANADERO,UNO/MOVAG,2009
24006.0,PROVINCIAL,ALIANZA1,UNO/MTP,2009
24008.0,PROVINCIAL,ALIANZA,PRE/MIP,2009
24011.0,PROVINCIAL,ALIANZA,RED/MIPD/OP,2009
24012.0,PROVINCIAL,ALIANZA 18-33,MUPP-NP/MBA,2009
27007.0,PROVINCIAL,ALIANZA,MFUIE/MPD,2009
28005.0,PROVINCIAL,ALIANZA,PRIAN/MHE,2009
28006.0,PROVINCIAL,ALIANZA,RED/MIPD,2009
14019.0,CANTONAL,MOVIMIENTO INTEGRACION LOGRONENSE,MIL,2009
14020.0,CANTONAL,MOVIMIENTO CIVICO ALTERNATIVA LIMONENSE,MCAL,2009
14021.0,CANTONAL,MOVIMIENTO POLITICO GENTE ALTIVA NUEVA Y EMPRENDEDORA,GANE,2009
14022.0,CANTONAL,MOVIMIENTO AL SOCIALISMO,MAS,2009
27001.0,PROVINCIAL,MOVIMIENTO CIUDADANO DE MIGRANTES ECUATORIANOS NUEVA REPUBLICA,MCMENR,2009
27002.0,PROVINCIAL,MOVIMIENTO FRENTE UNIDO DE INMIGRANTES ECUATORIANOS,MFUIE,2009
27004.0,PROVINCIAL,MOVIMIENTO INDEPENDIENTE APOYO AL EMIGRANTE ECUATORIANO,MIAEE,2009
27005.0,PROVINCIAL,MOVIMIENTO CIUDADANO,MC,2009
27006.0,PROVINCIAL,MOVIMIENTO DE ECUATORIANOS UNIDOS EN USA Y CANADA,MEUUYC,2009
27008.0,PROVINCIAL,MOVIMIENTO INMIGRANTES EN ACCION - USA&CANADA,MIA-E.C.,2009
28001.0,PROVINCIAL,MOVIMIENTO UNION NACIONAL DE INMIGRANTES ECUATORIANOS,UNIREV,2009
28002.0,PROVINCIAL,MOVIMIENTO HERMANDAD ECUATORIANA,MHE,2009
28003.0,PROVINCIAL,MOVIMIENTO AGRUPACION DE ECUATORIANOS PROGRESISTAS,MAEP,2009
28004.0,PROVINCIAL,MOVIMIENTO QUINTA REGION,MQR,2009
95.0,NACIONAL,MOVIMIENTO DE INTEGRACION Y TRANSFORMACION SOCIAL,MITS,2009
96.0,NACIONAL,MOVIMIENTO FUERZA ECUATORIANA,MFE,2009
100.0,NACIONAL,MOVIMIENTO TRIUNFO MIL,MTM,2009
108.0,NACIONAL,MOVIMIENTO CLARO UN MOVIMIENTO TRANSPARENTE,MCUMT,2009
109.0,NACIONAL,MOVIMIENTO FORO PATRIOTICO,MFP,2009
110.0,NACIONAL,MOVIMIENTO DEMOCRACIA SI,MDS,2009
111.0,NACIONAL,MOVIMIENTO DIGNIDAD - SEGURIDAD - PROGRESO,MDSP,2009
112.0,NACIONAL,MOVIMIENTO UNION NACIONAL DE INMIGRANTES ECUATORIANOS,UNIRE,2009
1013.0,CANTONAL,MOVIMIENTO INDEPENDIENTE ASAMBLEAS DEMOCRATICAS Y PARTICIPATIVAS GUACHAPALA,ADP,2009
1014.0,CANTONAL,MOVIMIENTO PAUTE LIBRE,MPL,2009
1015.0,CANTONAL,MOVIMIENTO UNIDAD GIRONENSE,MUG,2009
1016.0,CANTONAL,MOVIMIENTO UNIDOS TODOS POR PAUTE,UTP,2009
1017.0,CANTONAL,FUERZA ALTERNATIVA PROGRESISTA,FAP,2009
1030.0,CANTONAL,"UNIDAD, PROGRESO Y DEMOCRACIA",UPD,2009
1033.0,CANTONAL,ALIANZA BOLIVARIANA ALFARISTA,ABA,2009
1035.0,CANTONAL,MOVIMIENTO INDEPENDIENTE POR TI CUENCA,MIPTC,2009
2011.0,CANTONAL,MOVIMIENTO INDEPENDIENTE DIALOGO PARA LA DEMOCRACIA,MDPD,2009
2012.0,CANTONAL,MOVIMIENTO DE INTEGRACION CALUMENA,M.I.C.,2009
2013.0,CANTONAL,MOVIMIENTO AGRARIO INDEPENDIENTE SAN MIGUEL,MAIS,2009
2014.0,CANTONAL,MOVIMIENTO AGRARIO INDEPENDIENTE SAN MIGUEL,MAIS.,2009
2017.0,CANTONAL,MOVIMIENTO INDEPENDIENTE AMAUTA YUYAY,MIAY,2009
2018.0,CANTONAL,MOVIMIENTO DE INNOVACION Y ACCION NAVENA,MIAN,2009
3006.0,CANTONAL,MOVIMIENTO ACUERDO SOCIAL,MAS,2009
3009.0,CANTONAL,FRENTE RENOVADOR DE ACCION SOLIDARIA,FRAS,2009
3010.0,CANTONAL,MOVIMIENTO INDEPENDIENTE JIMMYSTA,MIJ,2009
3017.0,CANTONAL,MOVIMIENTO FRENTE CIUDADANO,MFC,2009
3020.0,CANTONAL,MOVIMIENTO UNIDAD PROGRESISTA INDEPENDIENTE,MUPI,2009
4011.0,CANTONAL,MOVIMIENTO INDEPENDIENTE DE UNIDAD MIRENA,MIUM,2009
4013.0,CANTONAL,MOVIMIENTO INDEPENDIENTE UNION MONTUFARENA,MIUM,2009
4018.0,CANTONAL,MOVIMIENTO UNIDAD HUAQUENA,MUH,2009
5007.0,CANTONAL,SIGCHILA SANGRE DE HERENCIA,SHH,2009
5015.0,CANTONAL,MOVIMIENTO POR LA VIDA Y EL AGUA DE PANGUA,MOVIDA,2009
5016.0,CANTONAL,MOVIMIENTO INDEPENDIENTE NUEVA ERA SOLIDARIA,MINES,2009
5017.0,CANTONAL,MOVIMIENTO COMUNIDADES UNIDAS PARA EL DESARROLLO E IGUALDAD DE SIGCHOS,CUDIS,2009
6016.0,CANTONAL,FRENTE DE DESARROLLO PALLATANGA,FDP,2009
6017.0,CANTONAL,GENTE NUEVA POR EL CAMBIO,GNC,2009
6019.0,CANTONAL,MOVIMIENTO LEVANTATE CHUNCHI,MLCH,2009
6021.0,CANTONAL,MOVIMIENTO INTEGRACION CIUDADANA,SUMATE,2009
6037.0,CANTONAL,MOVIMIENTO INDEPENDIENTE SOLIDARIO CAMBIO INTEGRAL,MISCI,2009
